kmeans_cluster,datetime_hour,svr1,upload_bitrate_mbps,download_bitrate_mbps,target_latency,target_throughput,latency_lag_1h,throughput_lag_1h,latency_rolling_3h,throughput_rolling_3h,latency_rolling_6h,throughput_rolling_6h,hour_sin,hour_cos,dow_sin,dow_cos,hour_of_day,day_of_week,zone_count
0,2022-07-06 04:00:00,36.57333333333334,14.125179856115109,69.02857142857142,42.49935616438356,25.292027027027025,64.24984527687296,30.513037059294877,70.77205062205063,53.0815233994368,63.59490595936979,40.61951938204883,0.8660254037844386,0.5000000000000001,0.9749279121818236,-0.2225209339563143,4,2,13
0,2022-07-06 05:00:00,21.91904761904762,0.0,0.0,73.40299342105263,54.15901325478645,44.39653344208809,26.873429951690824,41.81037940716661,21.28617122791608,38.0206005710462,24.230473675014323,0.9659258262890684,0.2588190451025207,0.9749279121818236,-0.2225209339563143,5,2,1
0,2022-07-06 19:00:00,46.156748633879786,11.642050752792617,16.96727967032967,80.15100817079599,34.557861519938186,72.84162946428572,37.0673922838637,72.46713987572028,34.53911040509778,73.82267680395499,34.545982059051475,-0.9659258262890684,0.2588190451025203,0.9749279121818236,-0.2225209339563143,19,2,22
0,2022-07-06 20:00:00,38.97548209366391,13.158653846153848,23.04386967028601,79.1167222963952,33.04686774941995,57.68988095238095,31.05857451403888,58.884029733732405,32.12605610184372,69.48253750659808,32.12605610184372,-0.8660254037844386,0.5000000000000001,0.9749279121818236,-0.2225209339563143,20,2,11
0,2022-07-06 21:00:00,39.93383458646616,13.325986078886311,15.33375448028674,43.277040816326526,29.858540045766592,51.11818181818182,27.388082352941176,44.43856451023392,31.074075280017027,60.66105788109636,31.074075280017027,-0.7071067811865477,0.7071067811865474,0.9749279121818236,-0.2225209339563143,21,2,17
0,2022-07-06 22:00:00,41.04,11.82283464566929,17.304271844660192,64.82777777777778,26.166764705882358,65.88447580645162,29.472403560830863,59.870451322534656,30.795146767715877,61.59673718062164,28.158693161506974,-0.5000000000000004,0.8660254037844384,0.9749279121818236,-0.2225209339563143,22,2,35
0,2022-07-06 23:00:00,48.27692307692308,11.78512241054614,16.07764705882353,42.84450549450549,10.566666666666666,52.45898876404495,30.3566091954023,68.16547015588742,29.751258699860813,71.71846802951501,29.68333900853827,-0.2588190451025215,0.965925826289068,0.9749279121818236,-0.2225209339563143,23,2,37
0,2022-07-07 00:00:00,91.68139796455719,13.178506115317415,18.945920962672673,137.10318712325255,37.99691206941207,68.05149022108844,28.59451846997551,81.79372807676509,29.655462991420997,72.94802190115004,30.7085413159709,0.0,1.0,0.4338837391175582,-0.900968867902419,0,3,8
0,2022-07-07 01:00:00,40.20837028824834,1.067872340425532,4.719802009456265,66.04073795180723,39.93981443298969,83.27159455128205,26.491000684862016,65.34076735144151,23.852648868717104,74.134630112566,27.155114125783264,0.2588190451025207,0.9659258262890684,0.4338837391175582,-0.900968867902419,1,3,30
0,2022-07-07 02:00:00,68.37484076433121,12.055555555555555,29.33125,74.7561475409836,69.62045454545454,49.049707207207206,9.83,73.77420582600855,28.575190854119427,71.90830129813172,32.241968177055256,0.4999999999999999,0.8660254037844387,0.4338837391175582,-0.900968867902419,2,3,37
0,2022-07-07 03:00:00,68.18105263157895,23.035111989459814,55.2531746031746,67.46976379598662,26.214319195055964,69.52150596982524,42.41007894736842,62.93583652849824,45.1974093486058,62.951521939284866,40.02705989430201,0.7071067811865476,0.7071067811865476,0.4338837391175582,-0.900968867902419,3,3,28
0,2022-07-07 05:00:00,31.168115942028983,24.074213836477988,55.89811320754716,68.25268404907976,107.91175617375815,91.40437279151944,68.64947368421052,66.99699926117178,62.449477184202806,57.92480966333156,44.73014579318095,0.9659258262890684,0.2588190451025207,0.4338837391175582,-0.900968867902419,5,3,1
0,2022-07-07 18:00:00,19.85,24.074213836477988,55.89811320754716,63.7817853705486,51.35248520710059,68.25268404907976,107.91175617375815,63.552946254643366,94.90225394754452,66.37393180634389,70.26792513169174,-1.0,-1.8369701987210294e-16,0.4338837391175582,-0.900968867902419,18,3,1
0,2022-07-07 19:00:00,36.13461286452565,11.383438717410847,17.293878306878305,60.40529165021714,23.608947368421056,70.70041990291261,38.0178584043788,69.47059404122291,38.60174666769194,66.20892800542478,36.68923797117359,-0.9659258262890684,0.2588190451025203,0.4338837391175582,-0.900968867902419,19,3,32
0,2022-07-07 20:00:00,84.94117647058823,10.096153846153848,14.574801587301588,81.71340206185566,24.56937142857143,70.80533980582524,33.375238095238096,73.43835616438356,27.83078375647341,73.13369288854435,29.304246638445637,-0.8660254037844386,0.5000000000000001,0.4338837391175582,-0.900968867902419,20,3,11
0,2022-07-07 21:00:00,55.41464631100294,12.11111111111111,12.323102380952381,79.37968337395897,27.64955024018822,77.46950443687159,25.387431250374988,74.89052246912946,29.513415108291014,74.89052246912946,29.219203392484154,-0.7071067811865477,0.7071067811865474,0.4338837391175582,-0.900968867902419,21,3,12
0,2022-07-07 22:00:00,72.22619047619048,10.158536585365852,15.31131149622678,78.51162790697674,27.161723547149123,74.10526315789474,26.680974803800083,79.12572272300196,24.30898521125756,77.02222782323395,27.329028364130053,-0.5000000000000004,0.8660254037844384,0.4338837391175582,-0.900968867902419,22,3,25
0,2022-07-07 23:00:00,58.13953488372093,12.417279411764707,16.617807807166095,95.77142857142857,32.7068,95.32340658076393,26.36422337398303,94.3826119593517,27.734420538230573,79.5071885191842,27.22889285337382,-0.2588190451025215,0.965925826289068,0.4338837391175582,-0.900968867902419,23,3,26
0,2022-07-08 00:00:00,72.88380952380953,11.8375,22.626715719063547,101.70988372093024,32.407925903614455,80.46551447432171,26.668729420633383,101.79051942113865,30.648477355514373,91.67408043888236,30.948864127072635,0.0,1.0,-0.433883739117558,-0.9009688679024191,0,4,18
0,2022-07-08 01:00:00,25.82686974789916,0.0,0.0,64.92708696599826,33.90512805957949,57.84285481922112,28.363581190898344,55.68560543482669,31.365638951419136,55.594699167774536,30.346861824262156,0.2588190451025207,0.9659258262890684,-0.433883739117558,-0.9009688679024191,1,4,18
