square_id,latitude,longitude,mean_latency,std_latency,median_latency,mean_throughput,std_throughput,median_throughput,mean_transfer,mean_ul_dl_ratio,mean_speed,observation_count
square_34359738436,-37.81477971910112,144.80117461423222,120.15299625468164,85.22734308768341,88.225,26.18794007490637,13.308188864512639,24.8,3.1202197448501874,0.691379998400464,31.219698097378277,267
square_34359738438,-37.81300216067761,144.81025849486653,92.90660934291581,59.72586707949395,76.95,30.2998613963039,12.184552798276139,27.799999999999997,3.6116743735562116,1.122864561922596,7.496911211498973,1948
square_34359738440,-37.81340597414351,144.8167036819651,74.93340336134455,36.35553935005742,69.05,35.673044602456365,13.321045808155505,33.1,4.2526297874919194,0.9820620590772589,12.068987180349064,1547
square_42949672967,-37.80747669691781,144.76966962157536,89.22630993150685,88.46910079279913,54.45,25.67339602953767,17.185848291781276,26.5,3.0591267457726885,0.983502793529417,51.766520493150686,584
square_42949672970,-37.80679665723751,144.7882055133792,54.0412751656473,41.83261902193196,42.1625,30.754180682976553,18.04198324436102,29.57,3.664483755813583,0.9147481376385332,53.33924575025485,7848
square_42949672976,-37.808442,144.80790868333332,28.257916666666667,4.979156750102411,28.4375,21.43166666666667,4.798364186892916,21.4,2.553552734375,0.7992155108895248,44.31536593333333,60
square_42949672978,-37.806366397881995,144.8186516202723,71.5857791225416,53.44729572734521,59.974999999999994,34.56782148260211,19.97112290521884,29.380000000000003,4.118424794345688,1.0035082512268707,27.67235985476551,661
square_42949672980,-37.8035878630137,144.82328843378997,73.14263698630137,38.34807331327689,67.19999999999999,24.669999999999998,10.375250056262603,22.6,2.9391238584474886,1.0157462460923716,6.763656219178082,438
square_42949673001,-37.796416237288135,144.75344575423728,98.11631355932204,103.28022091284866,46.7625,40.92847457627119,23.255834875851097,42.98,4.876970007944916,0.544533255895245,48.47803047457627,118
square_42949673003,-37.79711792177046,144.75852247864128,65.7513355635615,50.72201796810533,54.474999999999994,38.17971178589809,24.026360669543063,33.8,4.549254575720536,0.9417198632269539,83.74774787236232,1943
square_42949673005,-37.7970777627657,144.7652897451747,110.47907708282433,88.22929660513725,76.45,36.84955206488212,21.56822238651609,32.83,4.390995077342414,0.7050412914625508,35.90992887564134,4093
square_42949673007,-37.798325913090125,144.7715745718884,97.16078683834048,82.59621369308307,67.42500000000001,28.01678022174535,18.978105925287107,26.9,3.338491071228988,0.5744866928474426,63.04887927753934,2796
square_42949673009,-37.799220490797545,144.78002892297206,68.44392126789366,56.43691878393185,55.775,35.46508520790729,25.198775139469966,32.2,4.225822735599864,0.7115244859564904,86.77865144921608,1467
square_42949673011,-37.79970527201137,144.78862094531337,52.717464453680414,43.69800597909779,39.824999999999996,32.04515826016146,18.54397046376972,30.3,3.818247011033031,0.9730743483069818,53.9057045954282,9143
square_42949673013,-37.79776651537682,144.79448896924637,65.52973724231158,60.54731681639817,45.6,23.326583305170665,10.67926813043048,20.09,2.7792782084319025,1.0752614230029258,12.252413281514025,2959
square_42949673015,-37.798744716068995,144.80164953495233,92.6363231956423,85.25437102872208,59.9875,25.102756251241207,19.907662145800966,21.0,2.9914436413058896,0.7081115121087013,10.878891794825238,4406
square_42949673017,-37.79957168166326,144.80878070191838,66.3027044989775,49.25888412975436,58.075,31.23104425143332,20.504431428644907,25.85,3.722386720081374,0.8118823145077674,5.925162087058136,10269
square_42949673019,-37.799472731061066,144.8163384306877,61.06992111285078,35.07079522462244,60.375,27.06452771682675,14.583805026085766,25.1,3.225305485404372,1.0498887380942643,7.505563574129833,8303
square_42949673021,-37.8002800107339,144.823520257988,80.58550923614578,64.28081049950791,64.475,29.81963256287444,13.639254654423448,28.34,3.552559673673084,1.1655558537247865,6.2578832666001,8012
square_42949673022,-37.80061745301775,144.82878541633136,87.85909940828402,62.6277182117554,68.25,29.999050591715978,14.439177753221871,28.64,3.5741644554363905,1.0499718320677975,6.303748616331361,4225
square_42949673023,-37.79652825,144.8341588125,41.8375,8.839424000842287,41.375,32.35,8.745131979183235,33.85,3.855625,0.9680215369581148,14.578596749999999,16
square_51539607556,-37.7931894943076,144.75274974394534,101.73620471951976,90.2089163769033,66.675,36.67408248405481,20.943718426734918,36.1,4.370079216583005,0.6101910247726916,47.91550561871248,4831
square_51539607558,-37.79334246942117,144.75801625050565,98.10474646056053,89.71762349606728,64.975,35.51715009661225,21.196712097135602,31.6,4.23221711665854,0.9306745060652708,6.952104684387942,20766
square_51539607560,-37.79399993203182,144.76517721884792,102.38183658712943,85.37573458266763,70.85000000000001,31.27068492909938,17.408766379834304,29.2,3.7259806407291918,0.8618825696821237,7.2064703504458905,12447
square_51539607562,-37.79356608002705,144.7702564044184,96.38774402614968,78.05491372381903,67.525,30.248075317713027,14.214636808133044,28.9,3.6039782505706155,0.9060926271348325,12.204848249774571,4436
square_51539607566,-37.79311499668874,144.78868999256986,48.47360826199322,37.71477474919033,37.6125,34.33287610827461,20.605666739782485,32.2,4.090910086529337,0.9471788162503487,51.096954913261186,12382
