square_id,datetime_hour,mean_latency,mean_throughput,mean_transfer,mean_ul_dl_ratio,mean_speed,latitude,longitude,observation_count,hour_of_day,day_of_week,date
square_85899345998,2022-07-07 08:00:00,33.86909057437408,24.956480117820327,2.9727926811027245,1.4099495877505386,10.70293165832106,-37.740671217231224,144.80100106848306,1358,8,3,2022-07-07
square_85899345998,2022-07-07 09:00:00,37.09195147679325,24.024008438818562,2.862074185785865,1.1141193915292158,6.625643308016878,-37.74075487763713,144.80067074261603,474,9,3,2022-07-07
square_85899345998,2022-07-07 10:00:00,33.270384615384614,31.129192307692307,3.708045673076923,1.4329781913652437,16.57257213846154,-37.74164213846154,144.8017765153846,260,10,3,2022-07-07
square_85899345998,2022-07-11 05:00:00,45.00953947368421,44.47355263157895,5.30007966694079,0.5594358787748128,27.220233,-37.744368263157895,144.80112222368422,76,5,0,2022-07-11
square_85899345998,2022-07-11 10:00:00,63.51564417177914,32.69846625766871,3.895044334739264,1.6267194070312059,9.07350473619632,-37.74519627300614,144.79890850920245,326,10,0,2022-07-11
square_85899345998,2022-07-11 11:00:00,69.78833333333334,4.796333333333334,0.57170703125,0.6556843529581288,34.43151973333333,-37.744756,144.79921456666668,30,11,0,2022-07-11
square_85899345998,2022-07-14 06:00:00,112.20952283849918,26.918833605220225,3.2072580100428225,0.8635872346166334,5.150424084828711,-37.741792554649265,144.80325914029365,1226,6,3,2022-07-14
square_85899345998,2022-07-14 07:00:00,104.9075154730327,27.192175066312995,3.239712954520336,1.0088868280098122,6.971548608311229,-37.74186295844385,144.80360715649869,1131,7,3,2022-07-14
square_85899345998,2022-07-14 08:00:00,100.67894088669951,47.87487684729064,5.705172413793104,0.4435601478122159,5.9280056748768475,-37.74063107389163,144.8024334778325,406,8,3,2022-07-14
square_85899345998,2022-07-14 09:00:00,87.37405721716515,22.403120936280885,2.6688523041287384,1.3262383963933475,10.5761048946684,-37.74091499089727,144.80044196749026,769,9,3,2022-07-14
square_85899345998,2022-07-14 10:00:00,106.23201754385966,27.76657894736842,3.3090063048245617,0.511619917740531,26.869758245614033,-37.74114279824561,144.80236146491225,114,10,3,2022-07-14
square_85899345998,2022-07-15 11:00:00,65.975,44.33092783505155,5.282164948453608,0.7304341845671275,20.884354845360825,-37.744216917525776,144.79992453608247,97,11,4,2022-07-15
square_85899345998,2022-07-18 05:00:00,27.10340909090909,23.188636363636363,2.765241477272727,0.47811204419985265,43.961681636363636,-37.74499281818182,144.80090113636362,22,5,0,2022-07-18
square_85899345998,2022-07-18 06:00:00,29.24882920110193,27.895399449035814,3.325961927513774,2.5437371314741863,5.572336374655648,-37.74508901101928,144.79890241046832,363,6,0,2022-07-18
square_85899345998,2022-07-18 10:00:00,69.59336734693878,36.3700583090379,4.332988110422741,0.8953160422402604,8.772988793002915,-37.74521563556851,144.79894528279883,343,10,0,2022-07-18
